Timestamp,TotalAmount,TotalInputs,TotalOutputs,Inputs,Outputs,Suspicius
1711808947,0.0601408,1,2,"{""bc1qw9gscw3pzdtgu3w92zjehfkfs9d48vcxptluqd"": 0.06023959}","{""bc1q0mz0q9fw7kdatee39rxe97j3sjdn8gzkd58esq"": 0.0085553, ""bc1qudmj2uxwhwh7c5sepnpnq2u683ag4r7eddqdsc"": 0.0515855}",False
1711808878,91.16887074,1,2,"{""bc1qxv9vek0xts9ktv0l06a6stsx404cps9n4dsew8"": 91.16897154}","{""bc1qngh6x2r72mp4nh88l083au728z7me0plytwfj7"": 90.97967074, ""18JquPU12Y8yQVu78ojFvkS4mKTng6fk82"": 0.1892}",False
1711808975,90.97957133999999,1,2,"{""bc1qngh6x2r72mp4nh88l083au728z7me0plytwfj7"": 90.97967074}","{""bc1qgnerwnztlz7ne4seq0rdencmavl8xnm9ruuacf"": 90.97807134, ""3Gv9FLmaGr8GDbLVMkA8oV4c8U9omhfJ2V"": 0.0015}",False
1711809054,0.0002723,1,1,"{""bc1qx7yxsctskryty5nyjltc3faxftcq492rgeqfqy"": 0.00035}","{""39NabXp7ksby6nC3hUaEw541GsQob2ZTLZ"": 0.0002723}",False
1711808935,19.641941759999998,1,2,"{""bc1qtwy0l2v4h5830j5f444wvwgmnjsm0shhfm69sq"": 19.64203905}","{""bc1q4hakq8ejst7hgfwkglt4c9ffsn2ppp2r7alxkg"": 0.0157174, ""bc1qndy75dahjr4y8rwawgmaat4m4h3s29m8hw8cp3"": 19.62622436}",False
1711808973,0.00624083,1,2,"{""bc1qq7r4xz2vdt9aqlv46ndgqtzek92grzmkuvvhyd"": 0.00633416}","{""bc1qeyj0w43rxvlqqan4juftu00skhr55p8yeerh4z"": 0.00574225, ""bc1qhpg4dutpsfj456nugknkz8aygtp4049z44yyxh"": 0.00049858}",False
1711809060,0.22796903,1,1,"{""3Gcu1shS31qD8n1cuAvG38zTDLcobYGuVZ"": 0.22805322}","{""bc1qaavm0qarsj77tzsd6vuyjqxuq5gpv75wf7makp"": 0.22796903}",False
1711809044,0.12212181999999999,1,8,"{""bc1qyl8a39tfsa20g8xxpujgrx2ew3l0tztade3m4nym0884w5jpdt7sartzpx"": 0.12235822}","{""1Gdf4wHs5VDD6g4BJn8GHUtj57kBWkru8H"": 0.00028539, ""14epA1LMKKaQFE1EmFcHndSoXR4ce27M6D"": 0.00035691, ""bc1q0s9td7z458qy89444h8lly3zkjymzap8vs2mmv"": 0.00071304, ""19PyxRuGibrB515zaCbCiEeBBNo5ErKG1D"": 0.00072823, ""1GTCDZ2v1WdznRqnjYvGfdbL8m2bbo9xUP"": 0.00427342, ""1DSueXCfPdYQhXG65wxuC2ciVe75Ah2Txx"": 0.00626988, ""1MNFjezyrgMm7hwCRgECS2uxNcgy4NkJws"": 0.03568252, ""bc1q9dlqarkqkgm7hlv9vpsuahh63ktcaepxajavjk54yr9c556fal8sh0pjmg"": 0.07381243}",False
1711808878,0.27334929,1,2,"{""bc1q496r9sgacgwhrr368t6hqsuuwu8vzemdcxh0yx"": 0.27343389}","{""bc1qa2h6x7nk2cx90vamx64nw6wrmqsyvhv2flsrmz"": 0.02245, ""bc1q496r9sgacgwhrr368t6hqsuuwu8vzemdcxh0yx"": 0.25089929}",False
1711809012,0.06134866,1,2,"{""3CHbJjKhwqnapCwxWVtRJf6wgf5z6UraxN"": 0.06144706}","{""bc1qnkfahfjfw6gdz38txm5nnlmcnyv8y8649wu0yt"": 0.01030606, ""bc1q9prrlyjc8dt4zvhuh6rc8a2zxsupt9cuty2aa8"": 0.0510426}",False
1711808947,0.12817039,1,2,"{""3KNFcPPeg5yGZY4DdVov2647Rtd2d51kQU"": 0.04179555}","{""bc1qqsnag3l5kwsg27gerua725mkmuyyvvtjsj99m9"": 0.128, ""3KNFcPPeg5yGZY4DdVov2647Rtd2d51kQU"": 0.00017039}",False
1711808885,0.0187977,2,1,"{""39R5oo88nc3NPRwr72WBdHBrF6EjfbUsPQ"": 0.0054411, ""3H5TiWTqEZ5zL12u6BDNxadyR7gHh5XN7S"": 0.01348533}","{""3H5TiWTqEZ5zL12u6BDNxadyR7gHh5XN7S"": 0.0187977}",False
1711808878,0.00783358,2,1,"{""1DWksBruA4tATPRAdkw29hDq4Jt96mBJR"": 0.00342253, ""1PLuJ2w4NQgPWSihdm1y6wsBDNpJiEfTPh"": 0.00459817}","{""bc1qwvy8cl0yrhn3umcelxdcv5yqxc569cs4t5cq8n"": 0.00783358}",False
1711808878,0.19870193,1,5,"{""3GHKde13vgwWCLTSzFjoDoGNkuW82WU4eD"": 0.19884609}","{""33RqLhLnAwv8QXKM9Hbs1VkCH9xASNm5ui"": 0.00073407, ""bc1qmp6myfag8vf642mwn4mzcexraahnfh4c6lkg8s"": 0.007125, ""12FwGERWGjxjwJL9sBhacf79QYBHbdk87V"": 0.03474206, ""3GK8ZUqyZPFaWZPDQYxxKy6tUmBeqeHEN3"": 0.00075642, ""3GHKde13vgwWCLTSzFjoDoGNkuW82WU4eD"": 0.15534438}",False
1711808885,0.39099605,1,2,"{""1PKZvQpzDjYqKAKjGuFPp5ushV3m6UDis7"": 0.37967659}","{""bc1qknfmps9xdzne40swkr3wzanvnw7x2wajg27xy2"": 0.05, ""1PKZvQpzDjYqKAKjGuFPp5ushV3m6UDis7"": 0.34099605}",False
1711808888,0.21760074,1,2,"{""bc1qryhgpmfv03qjhhp2dj8nw8g4ewg08jzmgy3cyx"": 0.21767688}","{""bc1qryhgpmfv03qjhhp2dj8nw8g4ewg08jzmgy3cyx"": 0.20877018, ""bc1ql2q5e48zhjd6fqe97jd4a89k8ddhqt8wlwl3qu"": 0.00883056}",False
1711808878,0.049926,1,2,"{""bc1qxad3zvlxw6nhc557lg5rtkw5qzjeksmkl2df3l"": 0.05}","{""bc1qmh2jtdvprp7u63kc4e3zsyl6h49srjws352x6v"": 0.024926, ""bc1qk905e00zxvnh9s7jpx6x4r9k7yu85u594hpsjp"": 0.025}",False
1711808878,0.0030960000000000002,1,2,"{""bc1qagd7jnssyukzmfw02sgeuax8g9kpf3al3t2g9c"": 0.00317}","{""bc1qpuw0wv3mltfucclcrmu3gxg6yewje40wcvp2c4"": 9.6e-05, ""bc1q9gftsdxrlgnhjx5cnxjgsdkw6kqdu0jru6yeja"": 0.003}",False
1711808723,0.0024289999999999997,1,2,"{""bc1qk3ql4zreeqypz8x7dntmelq3dyqvufmz4un26n"": 0.002503}","{""bc1q5k3tckj2phk8yr5wnyfnukzy9chqld43y9ph5d"": 0.000843, ""bc1qyun8nd0pazclkmdtzhat7dshhd8xclgey8r0tg"": 0.001586}",False
1711808876,24.513499,1,2,"{""bc1qrq7l5rwr0ag6wxaxqdyn4hw0dmtqsy99y0g3u2"": 24.513573}","{""bc1qfecwlr6swqru2f8udj67yu96ypwpnqvl62wjfp"": 1.0, ""bc1qtvcgr3w0w6evec6jghuzfq67cccfz2lxdmxknq"": 23.513499}",False
1711808963,0.19394785999999997,2,2,"{""bc1qwhvquweanthhcewly3gg3eqymz7ppwz78hkdyq"": 0.14142164, ""bc1qlf0ajtj3c580493ulnqpuxenclf46ux5mhsfee"": 0.05263511}","{""bc1qf9s5x6zd43e85l63hwjaj227hgru7pj5qtqwhf"": 0.05252622, ""bc1qv56pj5jvkmupm7nsucle66leakndn3jntv07gt"": 0.14142164}",False
1711808943,0.01878285,2,2,"{""bc1qjw3adpd2zehezea2kd2pc3epgh8cky62zndjad"": 0.00928274, ""bc1qlfvevyys2rpt9dsp2zpkqs5mgcplal2xmaneke"": 0.009609}","{""bc1qkpxfrpv8hl0tagjvvumvrmwk0akyrdre5gzdkx"": 0.00493127, ""bc1qtjfk27gsqqzctmwvgpk93m09a457uuze25szqv"": 0.01385158}",False
1711809010,0.17104476999999998,1,2,"{""bc1qrzvsegsy3eqa2wvh0hlvlekds7t260zu8ghj4a"": 0.0101267}","{""1EUPYs1vRm3kXWnsykPLua2K9mk2nhskPA"": 0.03078129, ""bc1qgxrwj8wvfexct4je0jspx52jpwx9xjdsmqst9x"": 0.14026348}",False
1711809054,0.33390428,1,2,"{""bc1q37xnpgyvjkqlh4hnj75qltwm00sh9apv7k6rpu"": 0.01787829}","{""1CJmjmD89feBdoGL9hbZpmThgU3mJUJzPr"": 0.15390647, ""bc1q7k8m6tveuvlw2mzl89808kp3ckwg6n2k0gm0gd"": 0.17999781}",False
1711808982,0.02064208,1,2,"{""bc1qyj4mkqway08tzyukc2jcn7s588adjxqcwxl7qm"": 0.02071554}","{""bc1qkwt290jdpgjrd59ppfvqvr095qhd5hz5qzgxaq"": 0.00064127, ""bc1qyfh3sc7rl8hat3lcdr2wyyr9axksjh9jwqtjax"": 0.02000081}",False
1711808878,0.13261874999999998,1,2,"{""bc1qxaclw2rvyfkyacw3ud0jm7lhd4npgum2ndnass"": 0.13269221}","{""bc1qk09m389qf3g33tuegr4q576fvdltpkhyx3gmhw"": 0.00030691, ""bc1qla05ps7djafyedtp9u3zd2cx2cxjdhjmlxm9sg"": 0.13231184}",False
1711808878,0.00398473,1,2,"{""bc1q2qsz62vgmydd2n0r936v7a9h09n5ph9fufj2gt"": 0.00405871}","{""bc1q5easj7z5mdsjz4grj9mngp2ftn3nuxnna02uh3"": 0.0001404, ""3DCHQofSREopXUrs5AL81sgfjrFtZdJx3F"": 0.00384433}",False
1711808878,0.10134274,1,2,"{""bc1q3dkqtt3p9v9uzu7aar3kj2cz987t69rgz0mx2a"": 0.10141776}","{""15z7j2GBv153hhXyDjyEpz1fpBBVmB6BKA"": 0.04308365, ""bc1q0qwffw6qggxfwc3g76lwdntqdklam88j6fgpmu"": 0.05825909}",False
1711808878,0.041917,1,2,"{""3BF4Y26AHucusuVB4bptWNRwpnV8Yt5mpM"": 0.042}","{""36qCG8EReYTGJYmmUGVE35oYgqcbXeaqFn"": 0.000417, ""bc1q0ul7creay53mekfrqvky4m0fnccss48976wtch"": 0.0415}",False
1711808878,0.000449,1,2,"{""bc1q5a4987vm6cz7qh6fw2xnf76usfqevdzeq7cr3s"": 0.0005198}","{""bc1qgpvtp383cnl7anpufett6myz7klux2zhv3g56f"": 8e-05, ""bc1q5d4z6578ysnc2ryvt4dz94cjr6m42s7n44lsdu"": 0.000369}",False
1711809054,0.00070261,1,1,"{""bc1qpms78te9lalvtxzd2vlt4saa4yzvzqnl5fumwx"": 0.0007577}","{""bc1qyq7cjflspdw0ue6803ns95k9ttd5fh7awrm80h"": 0.00070261}",False
1711808878,0.01816767,1,2,"{""bc1qxxzs9wve6krep0uqzahaj7umtpjqhw8wqsz9mq"": 0.01823817}","{""bc1q3arpdp8sf6uu6ytdjzcmrmjnpnnne6gcm6efyq"": 0.00102, ""bc1qxxzs9wve6krep0uqzahaj7umtpjqhw8wqsz9mq"": 0.01714767}",False
1711808925,2.6136895300000003,1,2,"{""bc1qw8wrek2m7nlqldll66ajnwr9mh64syvkt67zlu"": 2.61376003}","{""bc1q5qge028ny3fle4j5k926qsg5q0087jp63cphyn"": 0.00500778, ""bc1qw8wrek2m7nlqldll66ajnwr9mh64syvkt67zlu"": 2.60868175}",False
1711808938,0.999945,1,1,"{""bc1qfecwlr6swqru2f8udj67yu96ypwpnqvl62wjfp"": 1.0}","{""bc1qf8yxnra28a7kt4j4f75jpxd8da238jhcz2y272"": 0.999945}",False
1711808894,0.27108141,1,2,"{""bc1qluhrhql002eqp6krysrnlh6qdfedr7mpy9szfr"": 0.27115191}","{""bc1qcyw2wdmws62t5k4wk2nzhpz6ta3nyynsqrzyys"": 0.02851561, ""bc1qm5p9xpu2pu40jqsf9nd6qmllt40a2522u3uhsm"": 0.2425658}",False
1711808899,0.057949360000000005,1,3,"{""bc1qxxzs9wve6krep0uqzahaj7umtpjqhw8wqsz9mq"": 0.05803686}","{""bc1q57ujg4ds79ayqj4ckfemx53t48l7fggxwp6yle"": 0.01339851, ""bc1qxxzs9wve6krep0uqzahaj7umtpjqhw8wqsz9mq"": 0.04329231, ""1GD1X53F1XpDGSjBMnjhkM2EUh42R7FBxf"": 0.00125854}",False
1711808878,0.8963703500000002,1,21,"{""bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h"": 0.89677035}","{""bc1qtpp5mg98hgx8twhya7atekdnlkpfaq6uy3pkfn"": 0.00183716, ""bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h"": 0.34633542, ""bc1quxl7ch84ahxjxu7wwfgh5gq43xduny6n6lqy2m"": 0.00659229, ""bc1qqfauusfr3w8zt7vw8z4mfxxf8hn2sh69krz6wu"": 0.01263, ""1G63Zquwivw4RTNj5YVPu41yqc6ySQFhzd"": 0.00054925, ""bc1pretcduwl88x07fxyjsne8evn34g262jhrqxs43asn96efm303v9qdndmuf"": 0.07099873, ""3BMmgjGBTtJaHxXT8NbxbqwHezn6qrHZNc"": 0.00146, ""39QB4Fm1WX5QptWZiHzpSpbMktwwatp3GK"": 0.04941697, ""1HfV1MsvMweEkEEW81FCra5MvAFABskHW5"": 0.0021976, ""bc1q3lkpl6jc9zjyzcmczchq4rnde4ajkz66xa7r58"": 0.00990988, ""3BX8n4GceLWATiAcZfPxdoJBxK9DpBvwXK"": 0.0099, ""16dpJWqTKAUWAGoHL4YWouoqZ1PXYk1NNC"": 0.0012, ""bc1pttyvewmezd29jfyu5u9wy0z3vtgjw7kygl32ftad85hnq3474sxqqj0ug2"": 0.0049849, ""bc1qdrwv0vdnewlmmhrxeqc52637r8efqxzhd8lu6n"": 0.3, ""1DXqPHHPhuef9Fkx4YURxCiYNZyh2vhTQj"": 0.03798688, ""3LRVi9E3K5ALoE7pfRKAdGDPoGdkScabee"": 0.00986992, ""bc1pfhk2n46gmdvqwpdqfpz3azewqy93c5n60g7rq4scl06ks7akv4gsnzmx80"": 0.011028, ""1PQkkFMKK2KqJTXsWtj4J39e7bjTqvBB5T"": 0.01100703, ""bc1qacncuq8kfn39ch0p0z2avfk3xjtz4xh7gup20e"": 0.00106873, ""bc1q33j5ff6tr0jfzmhz75nm8sgqj3wyg8cmlfx3aep84etu4awdegtsumuslh"": 0.0048, ""129EXiqDL9wtoDZNDmQA89KaW9S49wzdVs"": 0.00259759}",False
1711808927,4.0669870800000005,1,24,"{""bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h"": 4.06743508}","{""bc1py5yjy02l8p7lvtcvq5mwtnjh70a6nqa33g6z4086gqms9ntj8jwq0j27qe"": 0.00691959, ""bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h"": 1.0568713, ""bc1q8l56f0j9y9066duhsdqhvdj94u56ekgrd2hgvw"": 0.00105, ""bc1qmcazcjuv4l9gnsr04nd00dq4cwzg8lsjccap07"": 0.06060409, ""393psVyxXqEx7tr3kumyLXQbARTzGHTDv6"": 0.0138, ""3Lc875ZieyRKv9oqM3NohZnnv5a3gXg9WC"": 0.00414589, ""bc1pt657s7vyq4fcnvt0ury6wsxk79mzn90gazwg69gc4wzhcu8tgkwqr4zzp5"": 0.23121368, ""16pJ3E6kVxZoKR7qwRtDbAjxw8JvHd3ThL"": 0.3098, ""bc1p3ljlrs9zxak6gw79m9ux3ksy67jmq7z5p7xv3mk7yjjlfc6tmfkqfctua6"": 0.00407, ""39jxduThax54J3Dzmdc365cVEw1r2k9yW3"": 0.03405876, ""bc1qp2wrjyutuzvwwdahzkhyn09x4rl35r5cux56tf"": 0.0048, ""bc1pxecz0ldp3mjwrxsd7f4nl3fyt2l7j3kpyn4xwdu5vxal0d48qh8q7qatrh"": 0.001294, ""32YQJqURH1CERsJe1dd3g83Uogz8HMmZzY"": 0.00281519, ""3F1ciMLxJgtFfnFLoBTU6CbgegkS7kG3Q2"": 0.01725949, ""17kSYvHasT6jKt7EFnz6hfq1wBk71E16rk"": 0.00221924, ""bc1q2vfd3jdsqg5yf7tmjqqxvhc8u6kr7hfr7y5e5m"": 0.00065, ""bc1qu9y0h2p4cwns0n9evssmszmfhc2ur2l8qrhx2m"": 1.20244615, ""bc1qa8zv3y88mgrucm88mnwfxp0nd9f2jx3vs0ggvn"": 0.01, ""3Mh4xoLZKpj6x49QqkH2a1eLRB9ZFShGML"": 0.8888, ""3PSRLX4bPSiG9zM71YWHTGW8uhPJKj8bBG"": 0.16838504, ""bc1qxhx0uhqfqvpvyxem4rq5rt8w2z0t97qcd0xr0a"": 0.0298, ""bc1qyk4kjy2hll7yz2rhcexc487fphjfwunlw63twl"": 0.00670242, ""bc1pxsk039kf0vu7pvlpks6j3zy7a8sgpmlsfe83djw6pqksvpfuq9nq5g82fl"": 0.0038, ""bc1qms5xrewep9dh34qv0f0sp2sgdzmfk2ljlne2hg"": 0.00548224}",False
1711809047,49.9996455,1,19,"{""bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h"": 50.0}","{""32miiv5R9aDQqFGW9DCn2Quk8uoW9R3BKX"": 0.00165282, ""bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h"": 30.03866617, ""1FvPBHnAacJft4DKmWbXNofrtEeqredHPx"": 2.9998, ""bc1qmc7jwmf64q2wqnx8vwc58r6lddvq4d33wsjaj6"": 0.00121858, ""bc1qrz0m5e9506rwk4psk57j939dmv8jdl6yrl5kk5"": 0.00478258, ""bc1qapf4vl9tej0cmzgdp7q2f436maq2rcyxe2wmxw"": 0.0254901, ""16tAB9qxBGLKtR3jnS4nuMxcME5JdxJ96y"": 0.00096006, ""3Mom2nZEe2Tw2maUrzDNpAPuyX71ezC4LC"": 0.00691288, ""32M8JdePHgNhyErp6bhnR1ooCu1MuU4RT3"": 0.01743235, ""bc1q57y2v43gxhauuz4suma0fgsyz5tnr7vkjdp7t9"": 0.02451522, ""bc1psh8cqndlc8kjr42jf7ul9efs2fupqyn0q6wqtz60m6r6eqruqdwqxp6c98"": 0.04378597, ""bc1qhmrxghqk62y3xzwj6nstqvt5e0fkenv20m3a0h"": 0.00587789, ""18KCuJCmoC6suM6e6LRB3komAsbebw4Qpo"": 0.01477512, ""bc1q38jz4xyull0fhj4445c4rcnulh6ek6zy88vzvz"": 0.0014978, ""14mJ8VPxxZS6EBRDs2MtK2p2VctcQuXi6y"": 0.00130849, ""38YpPPtwTucPUNvTbyJZeKTnyvGdQGe92b"": 0.00954497, ""bc1qyenpz9lcqk890mcmv09xfjldhg8llz2p2zcxlw"": 0.00141592, ""32CHmMWpYdbifmojdVU6DEq4nrkL7iU1fN"": 1.00000858, ""bc1p2mlwrss9tmvtfvu0tcxul2h0w67ej8vyjpj3ksctt67vd9r752ksqx6uqm"": 15.8}",False
1711808727,8.5334371,1,27,"{""bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h"": 8.5339146}","{""bc1qx6mu509l7z8n6j9hehptesvhqjnklrrnp3aawh"": 0.00478672, ""bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h"": 0.2964383, ""bc1qg06gvmt2a8eg3kygegqp89fxrvvl3c8q5gj6gp"": 0.00998775, ""3QyPjfZRd8TgZab31PU65fJt8PXKuo8Xco"": 0.00097, ""bc1q5h6gdlxn8kjtls4nv0n6l3yg4lawncu4sw506x"": 0.07240732, ""3LYBcRdkGGpn589HeJXxHTTpvXTFqt1Sim"": 0.0006901, ""bc1qempgljhyuvhlnjmz0jjj5znyn2a89knf8wkxpp"": 0.0012, ""3GqX3FrHMjeooTyhMNtRxWZk1SywQN3vYS"": 6.4698, ""1JZUcRyB92v4de6EF2eTs3YMNRorFJJ6qB"": 0.01260871, ""3Jqb5BfhhNyK2cohPbpT4V49qEkaes2zMc"": 0.45913021, ""3LfUQeVW2mJ7tZYtadxvX6XanwijATrKP7"": 0.0011756, ""34H18VYjrDk9CKfdEg7mCaK5Sr91UboWvA"": 0.00264179, ""bc1qejwpyynjxpk8lgr49554xl94aqju998043wmu2"": 0.00842, ""bc1qm6sx0580rcdlmygcc8yz0k92nz2ccyjcuvpw82"": 0.7109253, ""3Crp9c4Q63Ez7VUk1s3rWfff9H1KyfgfBN"": 0.01565299, ""3KNstj66HWNYBb9FgaZCBJhKFe5uDE6FbT"": 0.04603555, ""bc1q23dff4kd6ewclfftdasnmfwrxlddhkhsvfnesn"": 0.0011, ""bc1qqly4s9m7tvgfsh0z4d8leuvhrat6s5ryhkzklf"": 0.01557146, ""1676tjxg569L7PJjYm3FJzWPrJHGvvUAe8"": 0.00406888, ""bc1q745ghnujefmhlx9089n7nzrxu8ghrpyr7ds7z6"": 0.02147182, ""bc1qweg8sqalnt3p7jtaxfqq3w79cqqr6dxzvn8xue"": 0.0028, ""bc1qm9jf2le27rqjh05cjugajc2qg6htuuklqn6du2"": 0.0078, ""bc1p9r4892wkhrt2nalpklcqtt44wxvj8xdsu2pgz4csjt59dhqgs9pskj9dee"": 0.001306, ""bc1qz0wcyvfqa7jz7qfgz9r8nn7mc0g2pfqdg9m8kt"": 0.02478499, ""bc1qa854sfw739y84wu82mns6zyxqyvclxk9awmspl"": 0.0339658, ""3Kp6yGGbdv45P1m6Gq1aznb3KNCJuRoorL"": 0.25181, ""bc1pngly5v6gdf4uds0nd44dnj5fh5qurjfj2qh2epyd5nd54j52jc0sl9vhvd"": 0.05588781}",False
1711809027,4.19904671,1,3,"{""bc1qw8wrek2m7nlqldll66ajnwr9mh64syvkt67zlu"": 4.19913471}","{""39kaEMe3ZEZBQxChpeiQm6Z66iG1MYk4wf"": 0.0759482, ""bc1qw8wrek2m7nlqldll66ajnwr9mh64syvkt67zlu"": 4.06389793, ""1HRsNtN6hpoRpKJ5Arry9LjptHPRxCAV2h"": 0.05920058}",False
1711809085,0.0047327,1,2,"{""bc1qcpn57333axjrl7ngef622q4p65wnyqaaqtxhea"": 0.0048032}","{""bc1qftx0r8wyt0gqtug57gj0j9d47tws5s0fpwwsw3"": 0.00091928, ""bc1qqa34mtaqgthxmwp7r3tx82cj8gs0klxamls0gp"": 0.00381342}",False
1711809021,0.13675465,1,3,"{""bc1qxxzs9wve6krep0uqzahaj7umtpjqhw8wqsz9mq"": 0.13684365}","{""1BGWcdctyFGVC8PwcDHq7xjUqiTHXZvAPb"": 0.08017225, ""bc1qxxzs9wve6krep0uqzahaj7umtpjqhw8wqsz9mq"": 0.05518495, ""17vi9zrahdS47Wve5FFC2uym2fWRvwp94w"": 0.00139745}",False
1711808878,0.0004272,1,1,"{""bc1q57uzpxhxf5h0f47jql7gak00hz3wshsvg0kgpa"": 0.00048089}","{""bc1qa3n7hr6q7zjeuh636ytl4yt2vqmu5gekcsnwzr"": 0.0004272}",False
1711809073,1.5466273899999998,1,9,"{""bc1qr35hws365juz5rtlsjtvmulu97957kqvr3zpw3"": 1.54680516}","{""bc1qr35hws365juz5rtlsjtvmulu97957kqvr3zpw3"": 1.50169271, ""17TbbCv8TuZ4y8HKWqbczi9q3L35VyjVh2"": 0.0232146, ""1KWoPnS3utBN43wfqyH7k4ASSKkiYGx1W"": 0.00632313, ""bc1qzrmptn94x53cz329t0t4n9t3c75d3z8ctc9cdm"": 0.00380517, ""1CTEoqgFkEQo3pBKsBQtZ5jqxaDHPNAheJ"": 0.00353719, ""bc1q3yzpq9chm69s4k0gw2m5g78ewspe3gjr34ygzm"": 0.00284994, ""15AhkocQuhVQgrsf3irb6WnuHaY7CrwMai"": 0.0027537, ""18mv855FrY1V8msqyQZtH4ii1LncXYNtro"": 0.00142497, ""bc1qvnfz6q6jyrxqfr0v38ey69y30zv7c4jr42jr5d"": 0.00102598}",False
1711808868,1.65205541,1,10,"{""bc1qr35hws365juz5rtlsjtvmulu97957kqvr3zpw3"": 1.65224742}","{""bc1qr35hws365juz5rtlsjtvmulu97957kqvr3zpw3"": 1.56873709, ""bc1q8kwpk6svku3ekhtpfrcw5snsgvez84l6u7zgdw"": 0.05697792, ""1KWoPnS3utBN43wfqyH7k4ASSKkiYGx1W"": 0.00702499, ""1PFRrfhkvPr6ymnfTsi3A1w51mXL8SF1e7"": 0.00443941, ""bc1q67q77va8aecw5zf9uqlyvm7kagmcuj4gvpxf8m"": 0.00427314, ""1J4EpEBrh1bEoPMTX3zczLuXeD5Hjgu21M"": 0.00363217, ""37d79DYPvmC6CufvbhZDkSQhfnUG4LCrDR"": 0.00244993, ""3PnJLCbHjayZ3W7QLReFSG2AoeekKcXwtw"": 0.00155456, ""1GtwpDy42wCTVf7UBtyaZA5s83bPcxwMCt"": 0.00155389, ""bc1q6szxwns82p9vaqx8en6ra8jmqg8x6dduseacmy"": 0.00141231}",False
1711808892,0.00253265,2,2,"{""35C8BkNw8CDvewzTyP1vkSSvzJnrMuv1Q7"": 0.00129037, ""3LVB96GkTRRBDdLX9paeGAwvZex7K1jF1p"": 0.00136365}","{""bc1qgfpyjptvc76u3zhvdtggn7xn9yhyxmr3upqewm"": 0.00057, ""376Lt5zMb2qRwHnZZNCraWMcb3mm85TbLB"": 0.00196265}",False
